"Response","CanCov","ShrubCov","Aspect","Elevation","Cover.","CoverFOR","CoverFP","CoverHW","CoverOW","CoverPS","CoverWW","SexM"
0,0.217538,0.00337268,2.62122537124851,-23.392466,0,1,0,0,0,0,0,1
0,0.599333,0.134,3.01564260742725,-27.965673,0,1,0,0,0,0,0,1
0,0.462236,0.120846,2.81087703295252,-24.65867,0,1,0,0,0,0,0,0
0,0.0867698,0.0652921,2.8242542149627,-22.434025,0,1,0,0,0,0,0,1
0,0.463124,0.12039,2.94173151338789,-25.024781,0,1,0,0,0,0,0,1
0,0.460166,0.00191205,3.41357246189982,-29.824835,0,1,0,0,0,0,0,0
0,0.522639,0.00129366,3.07626503606877,-29.608529,0,1,0,0,0,0,0,0
0,0.371595,0.00583658,2.97421328648199,-28.61527,0,1,0,0,0,0,0,0
0,0.25644,0.00234192,3.05581763246559,-21.867366,0,1,0,0,0,0,0,0
0,0.371184,0.015873,2.68669046568972,-29.223314,0,1,0,0,0,0,0,1
0,0.565297,0.0365297,3.00331801414479,-28.101159,0,1,0,0,0,0,0,1
0,0.381733,0.00234192,2.83122985301354,-29.263881,0,1,0,0,0,0,0,1
0,0.41326,0.00110497,2.77899768214423,-24.396325,0,1,0,0,0,0,0,1
0,0.473255,0.00543971,3.00528255130669,-25.645022,0,1,0,0,0,0,0,1
0,0.433437,0.242518,2.8496244465508,-29.533933,0,1,0,0,0,0,0,1
0,0.528229,0.0464037,3.17782890266116,-28.355014,0,1,0,0,0,0,0,1
0,0.16766,0.00170213,2.4645204341388,-21.358843,0,1,0,0,0,0,0,1
0,0.583511,0.0127932,2.93825106380842,-29.369452,0,1,0,0,0,0,0,1
0,0.171509,0,2.97364352519751,-22.460899,0,1,0,0,0,0,0,0
0,0.259074,0,3.26143451285316,-21.315813,0,1,0,0,0,0,0,0
0,0.352997,0.00190295,3.30476517553378,-28.800525,0,1,0,0,0,0,0,0
0,0.283824,0,2.82193137002948,-23.145917,0,1,0,0,0,0,0,0
0,0.610865,0.0232816,2.92579467472013,-28.775868,0,1,0,0,0,0,0,1
0,0.494229,0.00271555,3.17313923596355,-29.776342,0,1,0,0,0,0,0,1
0,0.563715,0.0237581,3.15051469197926,-29.94857,0,1,0,0,0,0,0,0
0,0.540856,0.0188067,2.69254652875661,-29.969505,0,1,0,0,0,0,0,1
0,0.520984,0.0065123,3.1696684543246,-29.745334,0,1,0,0,0,0,0,0
0,0.469018,0.056244,3.08771427018139,-24.41502,0,1,0,0,0,0,0,0
0,0.51135,0.00716846,3.41390015816075,-29.921404,0,1,0,0,0,0,0,1
0,0.406557,0.0775956,1.82596095106254,-29.760239,0,1,0,0,0,0,0,1
0,0.246753,0,3.11387049398822,-21.826989,0,1,0,0,0,0,0,0
0,0.399446,0.0701107,3.04091761767743,-30.624032,0,1,0,0,0,0,0,1
